,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Source,Year,Mean
0,0,0,0,gcag,1850-01,-0.6746
1,1,1,1,gcag,1850-02,-0.3334
2,2,2,2,gcag,1850-03,-0.5913
3,3,3,3,gcag,1850-04,-0.5887
4,4,4,4,gcag,1850-05,-0.5088
5,5,5,5,gcag,1850-06,-0.3442
6,6,6,6,gcag,1850-07,-0.1598
7,7,7,7,gcag,1850-08,-0.2077
8,8,8,8,gcag,1850-09,-0.3847
9,9,9,9,gcag,1850-10,-0.5331
10,10,10,10,gcag,1850-11,-0.2825
11,11,11,11,gcag,1850-12,-0.4037
12,12,12,12,gcag,1851-01,-0.2007
13,13,13,13,gcag,1851-02,-0.4693
14,14,14,14,gcag,1851-03,-0.6461
15,15,15,15,gcag,1851-04,-0.5421
16,16,16,16,gcag,1851-05,-0.1976
17,17,17,17,gcag,1851-06,-0.1367
18,18,18,18,gcag,1851-07,-0.0968
19,19,19,19,gcag,1851-08,-0.1018
20,20,20,20,gcag,1851-09,-0.0912
21,21,21,21,gcag,1851-10,-0.0084
22,22,22,22,gcag,1851-11,-0.0819
23,23,23,23,gcag,1851-12,-0.2275
24,24,24,24,gcag,1852-01,-0.3751
25,25,25,25,gcag,1852-02,-0.4767
26,26,26,26,gcag,1852-03,-0.5598
27,27,27,27,gcag,1852-04,-0.5854
28,28,28,28,gcag,1852-05,-0.1274
29,29,29,29,gcag,1852-06,-0.0837
30,30,30,30,gcag,1852-07,0.005
31,31,31,31,gcag,1852-08,-0.1356
32,32,32,32,gcag,1852-09,-0.0019
33,33,33,33,gcag,1852-10,-0.1724
34,34,34,34,gcag,1852-11,-0.3052
35,35,35,35,gcag,1852-12,0.0654
36,36,36,36,gcag,1853-01,-0.2326
37,37,37,37,gcag,1853-02,-0.4037
38,38,38,38,gcag,1853-03,-0.2804
39,39,39,39,gcag,1853-04,-0.3863
40,40,40,40,gcag,1853-05,-0.2679
41,41,41,41,gcag,1853-06,-0.1424
42,42,42,42,gcag,1853-07,-0.0834
43,43,43,43,gcag,1853-08,-0.0566
44,44,44,44,gcag,1853-09,-0.2503
